NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
JONAS OTAVIANO PRACA DE SOUZA	Ciências Exatas e da Terra	Geociências	Geografia Física	nan
DAISY BESERRA LUCENA	Ciências Exatas e da Terra	Geociências	Meteorologia	Climatologia
RICARDO BURITY CROCCIA MACEDO	Ciências Exatas e da Terra	Matemática	Álgebra	Álgebra Comutativa
NACIB ANDRE GURGEL E ALBUQUERQUE	Ciências Exatas e da Terra	Matemática	Análise	Análise Funcional
EVERALDO SOUTO DE MEDEIROS	Ciências Exatas e da Terra	Matemática	Análise	Análise Funcional Não-Linear
DAMIAO JUNIO GONCALVES ARAUJO	Ciências Exatas e da Terra	Matemática	Análise	Equações Diferenciais Parciais
FAGNER DIAS ARARUNA	Ciências Exatas e da Terra	Matemática	Análise	Equações Diferenciais Parciais
FELIPE WALLISON CHAVES SILVA	Ciências Exatas e da Terra	Matemática	Análise	Equações Diferenciais Parciais
MANASSES XAVIER DE SOUZA	Ciências Exatas e da Terra	Matemática	Análise	Equações Diferenciais Parciais
MAURICIO CARDOSO SANTOS	Ciências Exatas e da Terra	Matemática	Análise	Equações Diferenciais Parciais
UBERLANDIO BATISTA SEVERO	Ciências Exatas e da Terra	Matemática	Análise	Equações Diferenciais Parciais
JOAO MARCOS BEZERRA DO O	Ciências Exatas e da Terra	Matemática	Análise	nan
ERALDO ALMEIDA LIMA JUNIOR	Ciências Exatas e da Terra	Matemática	Geometria e Topologia	Geometria Diferencial
OTONIEL NOGUEIRA DA SILVA	Ciências Exatas e da Terra	Matemática	Geometria e Topologia	Teoria das Singularidades e Teoria das Catástrofes
GEORGE EMMANUEL CAVALCANTI DE MIRANDA	Ciências Exatas e da Terra	Oceanografia	Oceanografia Biológica	nan
MIODELI NOGUEIRA JUNIOR	Ciências Exatas e da Terra	Oceanografia	Oceanografia Biológica	nan
RONEI MARCOS DE MORAES	Ciências Exatas e da Terra	Probabilidade e Estatística	Probabilidade e Estatística Aplicadas	nan
ARY DA SILVA MAIA	Ciências Exatas e da Terra	Química	Físico-Química	Cinética Química e Catálise
GERD BRUNO DA ROCHA	Ciências Exatas e da Terra	Química	Físico-Química	Química Teórica
